cruise,longitude,latitude,depth,temp,sal,oxy,phosphate,nitrate,silicate,barium
GA02,312.79349,-46.9243,250,7.8981,34.4785,237.100006,1.371,20.01,6.36,54.028355
GA02,312.79349,-46.9243,300,6.879,34.363899,239.5,1.535,22.459999,7.98,56.267101
GA02,312.79349,-46.9243,401,4.7279,34.154999,275,1.701,24.9,9.93,58.683521
GA02,312.79349,-46.9243,502,4.2347,34.134701,278.100006,1.737,25.639999,12.05,61.636753
GA02,312.79349,-46.9243,751,3.487,34.208099,238.199997,2.006,30,26.93,67.256241
GA02,312.79349,-46.9243,1002,2.9848,34.309898,207,2.192,32.639999,42.669998,73.209625
GA02,312.79349,-46.9243,1250,2.8242,34.446098,182.100006,2.298,34.099998,57.98,76.47049
GA02,312.79349,-46.9243,1501,2.7462,34.573601,175.399994,2.25,33.43,65.269997,81.095383
GA02,312.79349,-46.9243,2001,2.7087,34.731701,187.399994,2.029,30.15,65.650002,82.068665
GA02,312.79349,-46.9243,2502,2.6975,34.834499,212.5,1.741,25.9,55.23,77.969498
GA02,312.79349,-46.9243,3001,1.9668,34.773701,202.199997,1.967,29.1,81.519997,88.355957
GA02,312.79349,-46.9243,3502,1.3737,34.733601,202,2.107,31.02,100.870003,96.717697
GA02,312.79349,-46.9243,4001,0.8991,34.705502,208.399994,2.18,32.009998,112.559998,99.55941
GA02,312.79349,-46.9243,4500,0.525,34.684399,215.5,2.233,32.619999,120.57,101.788231
GA02,312.79349,-46.9243,5001,0.3654,34.674,220.399994,2.238,32.950001,124.290001,109.407066
GA02,312.79349,-46.9243,5501,0.3356,34.669399,222.199997,2.242,32.990002,126.230003,107.530785
GA02,312.79349,-46.9243,5715,0.3357,34.667801,223.100006,2.256,32.950001,126.900002,108.22728
GA02,314.46069,-44.7052,9,16.924999,34.554298,247,0.176,0,0,37.817005
GA02,314.46069,-44.7052,22,16.587799,34.529301,250.100006,0.203,0,0,39.039433
GA02,314.46069,-44.7052,50,13.8827,34.536201,244.100006,0.507,3.14,0,40.034428
GA02,314.46069,-44.7052,71,10.2463,34.555801,249.899994,0.885,10.84,1.1,58.404305
GA02,314.46069,-44.7052,101,8.8029,34.5252,256.100006,1.03,13.78,2.6,54.987144
GA02,314.46069,-44.7052,150,8.3143,34.537201,258.600006,1.166,16.09,3.68,52.208931
GA02,314.46069,-44.7052,199,7.2571,34.4207,252.699997,1.783,26.09,12.71,53.12582
GA02,314.46069,-44.7052,250,5.6619,34.252102,247,1.672,24.889999,8.71,57.25499
GA02,314.46069,-44.7052,300,4.8733,34.1828,252.699997,1.767,26.370001,10.73,60.357983
GA02,314.46069,-44.7052,399,4.1365,34.1586,257.600006,1.857,27.48,14.82,61.743317
GA02,314.46069,-44.7052,501,3.6405,34.175301,247.600006,1.973,29.24,21.34,63.928577
GA02,314.46069,-44.7052,750,2.995,34.283901,213.600006,2.206,32.619999,39.470001,68.172691
GA02,314.46069,-44.7052,999,2.8202,34.437302,184.100006,2.331,34.099998,56.029999,76.278679
GA02,314.46069,-44.7052,1250,2.7246,34.5709,175.699997,2.305,33.43,64.110001,79.667419
GA02,314.46069,-44.7052,1501,2.7047,34.668201,179,2.195,32,66.199997,80.150513
GA02,314.46069,-44.7052,1751,2.7437,34.751202,191.300003,2.016,29.57,62.32,79.823715000000007
GA02,314.46069,-44.7052,2002,2.6529,34.7924,201.300003,1.921,28.07,61.5,77.894081
GA02,314.46069,-44.7052,2501,2.3023,34.815399,211.399994,1.839,26.940001,65.290001,83.937096
GA02,314.46069,-44.7052,3000,1.5191,34.747601,202.699997,2.083,30.530001,94.949997,92.604317
GA02,314.46069,-44.7052,3501,0.9681,34.711399,206.600006,2.176,31.870001,110.089996,99.523888
GA02,314.46069,-44.7052,4001,0.5128,34.686501,214.399994,2.253,32.540001,119.220001,101.923264
GA02,314.46069,-44.7052,4499,0.2993,34.674198,219.800003,2.283,32.950001,123.760002,105.576324
GA02,314.46069,-44.7052,5000,0.2618,34.669102,221.600006,2.301,33.150002,126.839996,109.023277
GA02,314.46069,-44.7052,5048,0.2669,34.6688,220.800003,2.303,33.43,126.040001,106.983536
GA02,315.9762,-42.3737,8,17.133301,34.5271,255.100006,0.204,0.02,0,41.512711
GA02,315.9762,-42.3737,23,16.313601,34.577702,256.700012,0.207,0,0,42.50771
GA02,315.9762,-42.3737,24,16.346701,34.579601,256.5,0.201,0,0,41.503216
GA02,315.9762,-42.3737,73,10.6651,34.591801,248,0.837,10.25,1.19,69.89193
GA02,315.9762,-42.3737,100,9.5237,34.638401,246.699997,0.995,13.51,2.95,55.178959
GA02,315.9762,-42.3737,150,9.0712,34.678001,254.5,1.052,14.61,3.69,51.427147
GA02,315.9762,-42.3737,200,8.0772,34.543999,249.5,1.245,17.950001,5.09,54.760387
GA02,315.9762,-42.3737,247,6.2829,34.312599,247.800003,1.548,22.84,7.56,56.145142
GA02,315.9762,-42.3737,300,5.3713,34.219299,253,1.679,24.98,9.46,57.468204
GA02,315.9762,-42.3737,400,4.4428,34.1591,264.700012,1.759,26.26,12.13,59.136044
GA02,315.9762,-42.3737,500,3.9272,34.149502,263.100006,1.817,27.290001,15.89,61.189182
GA02,315.9762,-42.3737,748,3.1824,34.236401,227.800003,2.098,31.309999,32.139999,74.978592
GA02,315.9762,-42.3737,999,2.9145,34.377899,193.399994,2.264,33.630001,50.380001,70.680344
GA02,315.9762,-42.3737,1250,2.7575,34.517399,176.899994,2.285,33.68,62.779999,80.331818
GA02,315.9762,-42.3737,1500,2.7415,34.636002,177.699997,2.179,32.119999,65.18,86.963516
GA02,315.9762,-42.3737,1748,2.587,34.700401,181.699997,2.122,31.17,70.150002,85.741585
GA02,315.9762,-42.3737,2000,2.619,34.769001,195,1.959,28.889999,65.589996,82.665428
GA02,315.9762,-42.3737,2503,2.3962,34.821701,213.199997,1.792,26.610001,62.799999,82.016212
GA02,315.9762,-42.3737,3000,1.6525,34.757702,203.300003,2.02,29.860001,90.32,92.320145
GA02,315.9762,-42.3737,3502,1.0636,34.7192,206.5,2.137,31.440001,107.730003,99.872002
GA02,315.9762,-42.3737,4000,0.5477,34.688202,213.399994,2.203,32.360001,119.199997,102.434975
GA02,315.9762,-42.3737,4498,0.314,34.674999,218.899994,2.222,32.860001,124.900002,103.934578
GA02,315.9762,-42.3737,5001,0.2581,34.6688,222.199997,2.238,32.900002,126.480003,110.721886
GA02,315.9762,-42.3737,5146,0.2656,34.668201,222.100006,2.251,32.810001,126.93,111.425491
GA02,317.57889,-39.9635,10,21.433001,34.740299,224.699997,0.103,0,1,51.648132
GA02,317.57889,-39.9635,25,21.0588,34.828701,225.100006,0.106,0,0.82,51.135757
GA02,317.57889,-39.9635,48,19.473801,35.1133,233.699997,0.109,0,0.65,48.422787
GA02,317.57889,-39.9635,75,14.9862,35.135502,226.699997,0.448,4.85,1.34,49.756973
GA02,317.57889,-39.9635,100,13.5538,35.240101,216.199997,0.639,8.44,2.28,48.804619
GA02,317.57889,-39.9635,150,10.6715,34.763901,219.699997,1.028,14.51,3.77,51.10022
GA02,317.57889,-39.9635,200,9.1406,34.599998,227.800003,1.199,17.33,4.96,51.442108
GA02,317.57889,-39.9635,250,8.1182,34.5191,223,1.414,20.620001,7.41,54.901894
GA02,317.57889,-39.9635,300,6.8861,34.373699,236.600006,1.542,22.67,8.33,57.480747
GA02,317.57889,-39.9635,399,5.3379,34.2402,251.800003,1.707,25.17,10.8,60.5569
GA02,317.57889,-39.9635,499,4.4294,34.167198,267.700012,1.757,25.940001,12.6,60.613735
GA02,317.57889,-39.9635,750,3.7167,34.238602,231.800003,2.041,30.209999,26.139999,75.818794
GA02,317.57889,-39.9635,1000,3.1439,34.345798,202.100006,2.234,32.900002,43.130001,73.408546
GA02,317.57889,-39.9635,1250,2.912,34.478199,183.699997,2.277,33.669998,55.849998,76.498909
GA02,317.57889,-39.9635,1499,2.9525,34.627201,183.600006,2.152,31.98,57.34,81.045654
GA02,317.57889,-39.9635,1751,3.1766,34.756802,195.699997,1.923,28.549999,49.599998,79.837921
GA02,317.57889,-39.9635,2000,3.0587,34.820099,207.5,1.786,26.5,48.98,75.333809
GA02,317.57889,-39.9635,2501,2.5365,34.8279,213.300003,1.778,26.440001,59.130001,79.567963
GA02,317.57889,-39.9635,3000,1.7382,34.761398,202.899994,2.024,29.85,87.959999,94.899002
GA02,317.57889,-39.9635,3501,1.0829,34.717899,205.399994,2.172,31.639999,107.82,103.010651
GA02,317.57889,-39.9635,4001,0.5203,34.686699,214.100006,2.246,32.740002,119.629997,107.992744
GA02,317.57889,-39.9635,4498,0.2944,34.673901,219.699997,2.268,32.98,124.25,105.164108
GA02,317.57889,-39.9635,5000,0.2598,34.668999,221.5,2.284,33.099998,126.669998,108.753212
GA02,317.57889,-39.9635,5132,0.2636,34.667999,221.300003,2.299,33.119999,127.25,115.007477
GA02,318.86899,-37.8398,10,20.4216,35.407001,224.899994,0.09,0,0.73,47.662628
GA02,318.86899,-37.8398,24,20.400299,35.408699,225.899994,0.09,0,0.66,44.078381
GA02,318.86899,-37.8398,49,19.5408,35.522099,231.199997,0.114,0,0.84,45.84095
GA02,318.86899,-37.8398,74,16.539,35.654999,239.100006,0.17,0.07,1.2,45.983089
GA02,318.86899,-37.8398,100,15.7103,35.6959,221.699997,0.295,2.49,1.34,46.892803
GA02,318.86899,-37.8398,150,15.2231,35.653099,220.899994,0.393,4.78,1.56,46.416626
GA02,318.86899,-37.8398,200,14.7168,35.583599,223.5,1.727,26.120001,31.040001,58.029667
GA02,318.86899,-37.8398,249,14.2723,35.502602,220.800003,0.543,6.71,1.96,44.245468
GA02,318.86899,-37.8398,301,13.7337,35.3978,220.199997,0.615,7.92,2.28,44.756977
GA02,318.86899,-37.8398,400,10.9103,34.913799,210,1.052,15.14,4.49,48.280701
GA02,318.86899,-37.8398,500,8.847,34.617401,217.399994,1.345,19.6,6.42,53.47393
GA02,318.86899,-37.8398,750,4.6182,34.202599,253.399994,1.8,26.530001,14.15,60.272732
GA02,318.86899,-37.8398,1002,3.6681,34.237,229.600006,2.047,30.4,27.309999,67.810371
GA02,318.86899,-37.8398,1252,3.1117,34.360901,198.399994,2.238,33.220001,45.27,73.287773
GA02,318.86899,-37.8398,1501,2.8882,34.5005,180.5,2.272,33.799999,57.939999,74.154495
GA02,318.86899,-37.8398,1750,2.8837,34.646702,181,2.143,31.780001,60.830002,77.616898
GA02,318.86899,-37.8398,1999,2.9048,34.7444,191.399994,1.98,29.469999,58.689999,80.242867
GA02,318.86899,-37.8398,2500,2.6048,34.815399,208.199997,1.821,26.98,60.389999,80.356537
GA02,318.86899,-37.8398,2998,2.0507,34.790001,207.800003,1.92,28.23,76.120003,83.041954
GA02,318.86899,-37.8398,3499,1.2412,34.725201,203.699997,2.147,31.34,104.459999,99.637558
GA02,318.86899,-37.8398,4000,0.6474,34.692799,212,2.232,32.490002,117.32,98.330368000000007
GA02,318.86899,-37.8398,4502,0.3119,34.673901,218.800003,2.27,33.040001,123.889999,103.373116
GA02,318.86899,-37.8398,5000,0.2535,34.6679,221.100006,2.277,33.209999,126.949997,102.811653
GA02,318.86899,-37.8398,5033,0.2575,34.667801,220.800003,2.275,33.279999,126.970001,110.508667
GA02,320.56131,-35.0086,8,21.983601,35.729801,218.600006,0.033,0,0.48,45.282696
GA02,320.56131,-35.0086,24,21.9825,35.727798,219.699997,0.034,0,0.47,46.224735
GA02,320.56131,-35.0086,50,18.8412,35.824402,244.899994,0.067,0,0.37,44.614891
GA02,320.56131,-35.0086,76,17.246799,35.819599,242.300003,0.093,0,0.43,46.540154
GA02,320.56131,-35.0086,100,16.6434,35.821999,229,0.128,0,0.48,43.314808
